crypto,price
1inch,1.602781057357788
1inch,2.31894588470459
1inch,1.5977439880371094
1inch,1.0644539594650269
1inch,1.1104600429534912
1inch,0.8875120282173157
1inch,1.0888969898223877
1inch,1.366718053817749
1inch,1.154209017753601
1inch,1.0278730392456057
1inch,1.100944995880127
1inch,1.0304479598999023
1inch,1.2532249689102173
1inch,1.511154055595398
1inch,1.300176024436951
1inch,1.19173002243042
1inch,1.246711015701294
1inch,1.2089780569076538
1inch,1.1258519887924194
1inch,1.1231199502944946
1inch,1.2732280492782593
1inch,1.3357839584350586
1inch,1.3487859964370728
1inch,1.6440880298614502
1inch,2.032202959060669
1inch,1.8787599802017207
1inch,1.910805940628052
1inch,1.8551150560379028
1inch,1.5659769773483276
1inch,1.763865947723389
1inch,1.930554986000061
1inch,2.474368095397949
1inch,2.361182928085327
1inch,2.6761488914489746
1inch,2.516988039016724
1inch,3.116039037704468
1inch,3.359806060791016
1inch,4.592985153198242
1inch,4.94883394241333
1inch,5.018033027648926
1inch,4.680245876312256
1inch,5.028562068939209
1inch,5.580189228057861
1inch,5.82474422454834
1inch,5.25116491317749
1inch,4.95714807510376
1inch,5.3376312255859375
1inch,5.083246231079102
1inch,4.899176120758057
1inch,5.635378837585449
1inch,5.2761101722717285
1inch,5.70714807510376
1inch,5.270541191101074
1inch,4.946544170379639
1inch,4.755241870880127
1inch,4.840293884277344
1inch,4.783642768859863
1inch,4.612147808074951
1inch,5.144816875457764
1inch,5.062131881713867
1inch,4.540317058563232
1inch,3.6533689498901367
1inch,3.6408441066741934
1inch,3.9444189071655273
1inch,4.504511833190918
1inch,4.16755485534668
1inch,3.8332290649414062
1inch,4.117959022521973
1inch,4.009788036346436
1inch,4.079506874084473
1inch,3.83319091796875
1inch,3.738194942474365
1inch,3.8533239364624015
1inch,3.98167896270752
1inch,4.317314147949219
1inch,4.439528942108154
1inch,4.004892826080322
1inch,3.997688055038452
1inch,3.803046941757202
1inch,4.101463794708252
1inch,3.849551916122437
1inch,3.952828884124756
1inch,4.550381183624268
1inch,5.003087997436523
1inch,4.575448036193848
1inch,4.906064987182617
1inch,4.739998817443848
1inch,4.674595832824707
1inch,4.313683986663818
1inch,4.099548816680908
1inch,3.727503061294556
1inch,3.676564931869507
1inch,4.007835865020752
1inch,3.9981729984283447
1inch,4.087469100952148
1inch,4.598204135894775
1inch,4.50782585144043
1inch,4.33772087097168
1inch,4.452829837799072
1inch,4.682929039001465
1inch,4.266315937042236
1inch,4.592116832733154
1inch,5.314298152923584
1inch,5.185145854949951
1inch,5.573445796966553
1inch,6.207716941833496
1inch,6.106838226318359
1inch,5.739841938018799
1inch,5.688045978546143
1inch,5.499556064605713
1inch,5.606917858123779
1inch,5.886114120483398
1inch,6.089352130889893
